NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;GROSSINCOME_TOTAL;GROSSINCOME_MEN;GROSSINCOME_WOMEN;AVERAGE_GROSSINCOME_TOTAL;AVERAGE_GROSSINCOME_MEN;AVERAGE_GROSSINCOME_WOMEN;AVERAGE_NETINCOME_TOTAL;AVERAGE_NETINCOME_MEN;AVERAGE_NETINCOME_WOMEN;AVERAGE_NETINCOME_FULLTIME_WHOLEYEAR_TOTAL;AVERAGE_NETINCOME_FULLTIME_WHOLEYEAR_MEN;AVERAGE_NETINCOME_FULLTIME_WHOLEYEAR_WOMEN
AT13;91100;91100;2018;20181231;1.450.566.450;860.121.904;590.444.546;30.472;34.008;26.464;21.606;23.712;19.220;30.315;31.435;28.457
AT13;91200;91200;2018;20181231;1.418.638.399;831.409.361;587.229.038;29.052;31.597;26.078;20.537;22.004;18.823;31.530;32.454;30.072
AT13;91300;91300;2018;20181231;1.024.963.243;611.910.860;413.052.383;44.674;53.724;35.753;29.575;34.726;24.497;44.737;49.167;38.613
AT13;91400;91400;2018;20181231;1.568.910.618;907.031.592;661.879.026;34.498;38.460;30.231;23.755;26.011;21.325;35.812;37.620;33.196
AT13;91500;91500;2018;20181231;1.037.549.838;605.562.225;431.987.613;25.899;27.454;23.994;18.528;19.391;17.471;29.733;30.321;28.803
AT13;91600;91600;2018;20181231;1.469.366.314;843.656.616;625.709.699;30.044;32.345;27.415;21.168;22.486;19.662;32.239;33.058;30.994
AT13;91700;91700;2018;20181231;878.971.265;511.304.077;367.667.188;32.378;36.317;28.135;22.386;24.568;20.035;35.278;37.077;32.668
AT13;91800;91800;2018;20181231;927.005.752;528.587.962;398.417.790;40.059;46.990;33.503;26.770;30.714;23.040;42.676;46.605;37.756
AT13;91900;91900;2018;20181231;1.214.922.270;736.330.108;478.592.163;42.260;51.716;32.981;28.004;33.340;22.768;44.448;49.618;37.464
AT13;92000;92000;2018;20181231;1.186.891.513;694.654.889;492.236.624;26.130;27.775;24.114;18.674;19.619;17.515;30.100;30.463;29.507
AT13;92100;92100;2018;20181231;2.484.694.748;1.443.542.073;1.041.152.675;33.274;37.331;28.917;23.220;25.578;20.686;32.917;34.416;30.640
AT13;92200;92200;2018;20181231;3.280.061.782;1.910.251.055;1.369.810.727;36.753;42.466;30.947;25.323;28.659;21.932;34.911;36.947;31.847
AT13;92300;92300;2018;20181231;1.804.726.568;1.059.878.550;744.848.019;38.125;44.441;31.712;26.063;29.719;22.350;36.394;38.796;32.805
AT13;90100;90100;2019;20191231;364.308.802;229.261.459;135.047.343;53.964;67.869;40.038;34.567;42.152;26.971;59.348;68.651;47.823
AT13;90200;90200;2019;20191231;1.732.909.343;1.008.817.803;724.091.540;33.670;37.051;29.873;23.175;25.086;21.029;36.396;37.890;34.194
AT13;90300;90300;2019;20191231;1.744.112.940;1.001.806.724;742.306.216;38.069;42.847;33.088;25.751;28.480;22.908;40.047;42.464;36.806
AT13;90400;90400;2019;20191231;645.322.628;381.286.568;264.036.060;40.169;46.430;33.622;26.785;30.338;23.071;45.181;49.114;39.898
AT13;90500;90500;2019;20191231;886.556.934;501.156.832;385.400.102;30.795;33.224;28.121;21.465;22.866;19.923;34.586;35.701;33.029
AT13;90600;90600;2019;20191231;602.307.147;341.789.975;260.517.171;36.597;41.071;32.020;24.769;27.335;22.143;40.932;43.585;37.517
AT13;90700;90700;2019;20191231;660.057.869;375.751.817;284.306.053;39.247;45.425;33.268;26.215;29.705;22.837;43.360;46.854;39.079
AT13;90800;90800;2019;20191231;490.163.741;283.641.649;206.522.092;39.226;45.144;33.240;26.150;29.513;22.750;45.222;49.361;40.087
AT13;90900;90900;2019;20191231;840.724.789;470.902.285;369.822.504;38.059;43.546;32.797;25.560;28.681;22.567;43.070;46.369;39.144
AT13;91000;91000;2019;20191231;2.809.523.160;1.699.657.710;1.109.865.450;28.273;30.679;25.241;20.212;21.625;18.431;30.599;31.322;29.307
AT13;91100;91100;2019;20191231;1.559.434.721;929.156.184;630.278.536;30.407;33.764;26.520;21.649;23.652;19.330;31.044;32.103;29.224
AT13;91200;91200;2019;20191231;1.446.608.142;848.042.257;598.565.885;30.046;32.509;27.132;21.217;22.645;19.529;32.213;32.948;31.027
AT13;91300;91300;2019;20191231;1.072.746.196;640.937.621;431.808.576;46.039;54.903;37.138;30.509;35.581;25.415;46.339;50.744;40.183
AT13;91400;91400;2019;20191231;1.624.433.280;939.347.288;685.085.993;36.256;40.498;31.704;24.946;27.382;22.331;37.050;38.730;34.567
AT13;91500;91500;2019;20191231;1.088.746.210;633.806.032;454.940.178;26.825;28.445;24.853;19.167;20.089;18.045;30.580;31.120;29.718
AT13;91600;91600;2019;20191231;1.559.557.661;898.255.198;661.302.463;29.909;32.031;27.440;21.109;22.320;19.699;32.750;33.440;31.689
AT13;91700;91700;2019;20191231;917.001.871;531.919.657;385.082.214;32.099;35.537;28.315;22.270;24.212;20.134;35.954;37.431;33.707
AT13;91800;91800;2019;20191231;993.501.812;567.148.032;426.353.780;40.303;46.845;33.989;27.015;30.751;23.409;43.973;47.775;39.072
AT13;91900;91900;2019;20191231;1.320.953.519;797.296.225;523.657.294;41.979;50.583;33.343;27.938;32.800;23.059;45.098;49.796;38.570
AT13;92000;92000;2019;20191231;1.166.156.208;682.783.126;483.373.082;27.852;29.690;25.612;19.848;20.918;18.545;31.176;31.675;30.361
AT13;92100;92100;2019;20191231;2.667.679.121;1.559.575.430;1.108.103.691;33.456;37.429;29.108;23.404;25.735;20.853;33.681;35.123;31.433
AT13;92200;92200;2019;20191231;3.535.702.890;2.067.198.653;1.468.504.238;36.823;42.313;31.137;25.446;28.665;22.112;35.750;37.766;32.676
AT13;92300;92300;2019;20191231;1.973.022.702;1.163.104.867;809.917.835;37.950;43.929;31.745;26.088;29.603;22.440;36.901;39.193;33.377
AT13;90100;90100;2020;20201231;342.108.409;211.605.014;130.503.395;56.640;69.676;43.458;36.561;43.810;29.229;60.871;69.613;50.090
AT13;90200;90200;2020;20201231;1.752.300.053;1.011.817.060;740.482.994;34.850;38.110;31.203;24.142;25.973;22.094;37.621;39.055;35.519
AT13;90300;90300;2020;20201231;1.788.351.447;1.027.517.328;760.834.118;39.157;43.902;34.170;26.665;29.359;23.833;40.894;43.499;37.418
AT13;90400;90400;2020;20201231;650.808.337;386.962.838;263.845.499;42.113;48.970;34.937;28.103;31.900;24.130;46.192;50.322;40.675
AT13;90500;90500;2020;20201231;874.782.840;497.077.247;377.705.593;31.889;34.274;29.214;22.383;23.773;20.824;36.028;37.171;34.420
AT13;90600;90600;2020;20201231;597.005.988;335.830.780;261.175.207;37.685;42.216;33.115;25.673;28.272;23.052;42.137;44.938;38.660
AT13;90700;90700;2020;20201231;657.821.229;371.837.263;285.983.966;40.611;46.248;35.056;27.222;30.327;24.162;44.027;47.226;40.094
AT13;90800;90800;2020;20201231;480.956.658;274.990.301;205.966.356;40.859;46.420;35.226;27.406;30.475;24.296;45.897;49.440;41.491
AT13;90900;90900;2020;20201231;848.258.258;470.903.158;377.355.100;39.724;45.171;34.528;26.810;29.936;23.829;44.177;47.390;40.360
AT13;91000;91000;2020;20201231;2.853.819.857;1.719.687.637;1.134.132.220;28.891;31.004;26.186;20.811;22.029;19.252;31.489;32.184;30.260
AT13;91100;91100;2020;20201231;1.549.353.815;917.803.590;631.550.225;30.886;33.885;27.367;22.179;23.964;20.083;31.792;32.787;30.087
AT13;91200;91200;2020;20201231;1.447.763.021;849.918.843;597.844.178;30.962;33.307;28.146;22.018;23.363;20.403;33.379;34.177;32.077
AT13;91300;91300;2020;20201231;1.072.414.208;637.449.860;434.964.347;47.131;55.858;38.350;31.457;36.451;26.431;47.727;51.932;41.832
AT13;91400;91400;2020;20201231;1.629.058.630;937.086.669;691.971.961;37.285;41.294;32.953;25.816;28.114;23.334;38.298;39.972;35.836
AT13;91500;91500;2020;20201231;1.089.929.763;633.005.712;456.924.051;27.888;29.329;26.111;20.042;20.842;19.055;31.829;32.327;31.033
AT13;91600;91600;2020;20201231;1.555.744.213;891.873.220;663.870.993;30.799;32.637;28.632;21.877;22.914;20.653;34.016;34.635;33.055
AT13;91700;91700;2020;20201231;915.989.765;527.342.121;388.647.644;33.268;36.241;29.935;23.266;24.931;21.400;37.208;38.430;35.325
AT13;91800;91800;2020;20201231;999.742.654;572.716.698;427.025.956;41.642;48.688;34.873;28.004;32.011;24.154;45.059;48.802;40.192
AT13;91900;91900;2020;20201231;1.346.942.000;809.801.635;537.140.366;43.712;52.394;34.975;29.195;34.102;24.257;46.703;51.164;40.436
AT13;92000;92000;2020;20201231;1.154.657.420;674.661.064;479.996.356;28.828;30.433;26.838;20.671;21.591;19.531;32.306;32.681;31.688
AT13;92100;92100;2020;20201231;2.737.249.830;1.590.982.167;1.146.267.663;34.056;37.700;30.027;24.061;26.202;21.693;34.462;35.744;32.441
AT13;92200;92200;2020;20201231;3.617.348.151;2.103.461.664;1.513.886.487;37.719;42.891;32.306;26.272;29.302;23.100;36.763;38.681;33.810
AT13;92300;92300;2020;20201231;1.999.254.427;1.176.280.098;822.974.329;38.845;44.458;32.906;26.900;30.160;23.451;37.997;40.137;34.674
